ID,summary,opportunities,usecases,procedure,attack techniques
DTE0001,"Admin Access

            Modify a user's administrative privileges. 
            

            Changing the target system to allow or disallow users to perform tasks requiring administrator level permissions gives the defender leverage in inhibiting or facilitating attacks.  The procedures for changing these permissions vary across different operating and software systems.","DOS0001
There is an opportunity to study the adversary and collect first-hand observations about them and their tools.

DOS0029
There is an opportunity to block an adversary's intended action and force them to reveal additional TTPs.

DOS0147
In an adversary engagement scenario, there is an opportunity to allow or restrict admin access to support your defensive objectives.","DUC0025
A defender can enable Admin Access on a system to see if the adversary utilizes that access to create scheduled tasks to launch their malware or tools.

DUC0042
A defender can allow Admin access on a decoy system or network to allow an adversary to use event triggered execution.

DUC0055
A defender can configure system users to not have admin access in order to ensure privilege escalation requires exploitation.

DUC0137
A defender can remove admin access from the local user to prevent an adversary from being able to utilize WMI.

DUC0196
A defender could remove admin access in an attempt to force an adversary to perform privilege escalation to install a rootkit.

DUC0232
A defender can restrict admin access to force an adversary to escalate privileges in order to delete logs and captured artifacts from a system.","DPR0001
Remove an account's administrative access from a system or service to require an adversary to reveal techniques for elevating privileges in order to accomplish certain tasks.

DPR0002
Grant an account administrative access to a system or service to enable an adversary to take advantage of those privileges if they compromise the system or service.","T1014

Rootkit
Defense Evasion


T1047

Windows Management Instrumentation
Execution


T1053

Scheduled Task/Job
Execution, Persistence, Privilege Escalation


T1068

Exploitation for Privilege Escalation
Privilege Escalation


T1070

Indicator Removal on Host
Defense Evasion


T1546

Event Triggered Execution
Privilege Escalation, Persistence"
DTE0003,"API Monitoring

            Monitor local APIs that might be used by adversary tools and activity.
            

            API Monitoring involves capturing an internal Operating System (OS) function for its usage, accompanying arguments, and result. When a defender captures this information, the intelligence gathered can be analyzed to gain insight into the activity of an adversary at a level deeper than normal system activity monitoring.","DOS0027
There is an opportunity to create a detection with a moderately high probability of success.

DOS0028
There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access.","DUC0031
A defender can monitor and analyze operating system functions calls for detection and alerting.

DUC0032
A defender can monitor operating system functions calls to look for adversary use and/or abuse.","DPR0005
Trace activity through WinSock TCP API functions to view potentially  malicious network events. Log it such that it can be pushed to a centralized location and analyzed further.

DPR0006
Hook the Win32 DeleteFile() function to log all attempts at deleting a given file. This information can be used to trigger restoration attempts on critical data, reducing potential disruption if those files are unavailable for prolonged periods of time.","T1007

System Service Discovery
Discovery


T1106

Native API
Execution


T1140

Deobfuscate/Decode Files or Information
Defense Evasion


T1218

Signed Binary Proxy Execution
Defense Evasion


T1553

Subvert Trust Controls
Defense Evasion


T1569

System Services
Execution"
DTE0004,"Application Diversity

            Present the adversary with a variety of installed applications and services.
            

            Application diversity is presenting multiple software targets to the adversary. On a single target system, defenders can configure multiple different services or user software applications.  On a target network, defenders can present systems with a variety of operating systems, operating system versions, applications, and services.","DOS0001
There is an opportunity to study the adversary and collect first-hand observations about them and their tools.

DOS0002
There is an opportunity to discover who or what is being targeting by an adversary.

DOS0085
In an adversary engagement scenario, there is an opportunity to use a variety of applications on a system to see what an adversary tries to exploit in order to acquire credentials.

DOS0180
There is an opportunity to provide a variety of applications to an adversary so they see a full set of information when performing discovery tasks.

DOS0219
There is an opportunity to provide a variety of applications to an adversary to see what things an adversary prefers or to influence their operations.","DUC0035
A defender can install one or more applications on a decoy system with a variety of patch levels to see how an adversary might exploit those applications.

DUC0056
A defender can install decoy services that have extensible capabilities.

DUC0059
A defender can plant AV or monitoring tools which are easy for an adversary to remove. If an adversary removes these, they may be enticed to act more openly believing they have removed monitoring from the system.

DUC0085
A defender can use a variety of applications on a decoy system or in a decoy network to see what an adversary tries to exploit in order to acquire credentials.

DUC0180
During an adversary engagement operation, a defender can open and use any particular subset of applications installed on a system to control what is presented to the adversary at any point in time.

DUC0219
A defender can stand up decoy systems or processes using a wide array of applications. These applications can be hardened to test an adversary's capabilities, or easily exploited to entice an adversary to move in that direction.

DUC0235
A defender can install an array of various software packages on a system to make it look used and populated. This will give an adversary a collection of software to interact with and possibly expose additional techniques.","DPR0007
Use a mix of vulnerable and nonvulnerable software on a system to allow you to see what exploits the adversary leverages in their attacks.

DPR0008
Install Anti-virus or other end-point detection tools on systems to see if an adversary takes note of them and if so, how they react.","T1010

Application Window Discovery
Discovery


T1203

Exploitation for Client Execution
Execution


T1210

Exploitation of Remote Services
Lateral Movement


T1211

Exploitation for Defense Evasion
Defense Evasion


T1212

Exploitation for Credential Access
Credential Access


T1480

Execution Guardrails
Defense Evasion


T1505

Server Software Component
Persistence


T1518

Software Discovery
Discovery


T1562

Impair Defenses
Defense Evasion"
DTE0005,"Backup and Recovery

            Make copies of key system software, configuration, and data to enable rapid system restoration.
            

            Employ disk imaging, system backup, or file synchronization tools to create copies of key data on a protected backup repository.  This is typically done to capture/restore an entire system or major subsystems.","DOS0058
Although adversaries may attempt to delete or change important artifacts,  there may be a window of time to retrieve them before that happens.

DOS0118
There is an opportunity to test what an adversary might do if destroyed data is selectively replaced by the defender.

DOS0122
There is an opportunity to test what an adversary might do if encrypted data is selectively replaced by the defender.

DOS0124
There is an opportunity to disrupt an adversary's defacement activity by quickly restoring altered content.","DUC0058
A defender can backup system information on a regular basis and send it to an alternate location for storage. 

DUC0118
A defender can ensure data is backed up on a regular basis and backups are stored offline from the system.  If an adversary is detected destroying or altering data, the defender could selectively restore data from backup to see how the adversary reacts.","DPR0009
Backup data on public facing websites and retain the files offline. In the event of data damage or loss, restore the data from backup.

DPR0010
Backup data on an end-user system and store offline.  If an adversary alters or deletes data on the system, restore the data using the backup copy.

DPR0063
In an adversary engagement situation, if an adversary deletes or alters files on a machine they are controlling, restore the data to it original state and location to see how the adversary reacts.","T1485

Data Destruction
Impact


T1486

Data Encrypted for Impact
Impact


T1491

Defacement
Impact"
DTE0006,"Baseline

            Identify key system elements to establish a baseline and be prepared to reset a system to that baseline when necessary.
            

            Identify elements of software and configuration critical to a set of objectives, define their proper values, and be prepared to reset a running system to its intended state.","DOS0015
There is an opportunity to use tools and controls to stop an adversary's activity.

DOS0051
There is an opportunity to utilize confirmed good copies of login scripts and restoring on a frequent basis to prevent an adversary from using them to launch malware on a recurring basis.

DOS0069
There is an opportunity to utilize known good copies of registry information and restore it if an adversary makes any changes.","DUC0046
A defender can force the removal of browser extensions that are not allowed by a corporate policy.

DUC0050
A defender can store good copies of registry startup keys and restore them on a frequent basis. This can prevent an adversary from using them to launch malware on system startup.

DUC0051
A defender can revert a system to a verified baseline a frequent, recurring basis in order to remove adversary persistence mechanisms.

DUC0069
A defender can enable Registry Auditing on specific keys to produce an alerts whenever a value is changed and revert those keys to baseline.","DPR0011
Maintain a verified baseline firewall configuration and use that copy as a fallback if an adversary alters that information.

DPR0012
Maintain a verified list of group policies enforced on a system and use that copy if an adversary attempts to deviate from the baseline.","T1037

Boot or Logon Initialization Scripts
Persistence, Privilege Escalation


T1112

Modify Registry
Defense Evasion


T1176

Browser Extensions
Persistence


T1546

Event Triggered Execution
Privilege Escalation, Persistence


T1547

Boot or Logon Autostart Execution
Persistence, Privilege Escalation"
DTE0007,"Behavioral Analytics

            Deploy tools that detect unusual system or user behavior. 
            

            Instrument a system to collect detailed information about process execution and user activity, develop a sense of normal or expected behaviors, and alert on abnormal or unexpected activity.  This can be accomplished either onboard the target system or by shipping data to a centralized analysis and alerting system.","DOS0131
There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors.","DUC0129
By looking for anomalies in host resource consumption and alerting on suspect activity, the defender can detect the use of system resources at odd times or at odd levels.

DUC0130
By looking for anomalies in system service states and alerting on suspect situations, the defender can detect potential malicious activity and triage the system to re-enable the services that have been stopped.

DUC0131
The defender can use behavioral analytics detect an XSL process doing something abnormal.

DUC0136
A defender could develop behavioral analytics to detect the examination of commonly used guardrails such as inspection of VM artifacts, enumeration of connected storage and/or devices, domain information, etc.

DUC0149
A defender could use implement behavioral analytics that detects common access token manipulation techniques and allow or deny these actions.

DUC0166
A defender could monitor for anomalous behavior from client applications, such as atypical module loads, file reads/writes, or network connections.

DUC0168
A defender can monitor user interactions with images and containers  to identify ones that are added or altered anomalously.

DUC0212
A defender can detect the use of non-standard protocols. By implementing behavior analytics specific to a rise in protocol traffic to a system or set of systems, one might be able to detect malicious communications from an adversary.

DUC0213
A defender can detect the use of external web services for communication relay. By implementing behavior analytics anomalies in what domains a system is communicating with, how frequently, and at what times, a defender can potentially identify malicious traffic.

DUC0217
A defender can implement behavior analytics which would indicate activity on a system executing commands in non-standard ways. This could indicate malicious activity.

DUC0218
A defender can implement behavioral analytics which would indicate activity on or against a domain controller. Activity which is out of sync with scheduled domain tasks, or results in an uptick in traffic with a particular system on the network could indicate malicious activity.

DUC0220
A defender can look for known files in non-standard locations or files that are creating anomalous processes or connections.

DUC0221
A defender can look for anomalies in how commands are being executed on a system. This can expose potentially malicious activity.

DUC0237
A defender can detect adversaries leveraging unused cloud regions. By implementing behavioral analytics for cloud hosts interacting with the network from regions that are not normal, one can detect potential malicious activity.

DUC0239
Defenders can detect adversaries attempting to exfiltrate to a cloud account. This can detect a system connecting to these cloud providers that it might not normally connect to, not using an account that it normally does, or during a time when it normally doesn't do so.

DUC0240
Defenders can detect adversaries attempting to open a port by analyzing incoming network connections. By looking for anomalies in what network traffic comes in, as well as patterns that might indicate intentional sequences, one can potentially identify malicious traffic. One can also look at anomalies in services suddenly listening on ports that were not being used before.

DUC0241
Defenders can look for anomalies in where an account is authenticating and what it is authenticating to in order to detect potentially malicious intent.

DUC0243
A defender can look for anomalies in accounts being active with other services/systems during hours they are normally not active. This can indicate malicious activity.

DUC0244
Defenders can detect adversaries attempting to exfiltrate over web services by implementing behavioral analytics. This can detect a system connecting to these web services that it might not normally connect to, or during a time when it normally doesn't do so.","DPR0013
Use behavioral analytics to detect Living Off The Land Binaries (LOLBins) being used to download and execute a file.

DPR0014
Use behavioral analytics to identify a system running development tools, but is not used by someone who does development.

DPR0015
Use behavioral analytics to identify abnormal system processes being used to launch a different process.","T1036

Masquerading
Defense Evasion


T1070

Indicator Removal on Host
Defense Evasion


T1095

Non-Application Layer Protocol
Command and Control


T1102

Web Service
Command and Control


T1134

Access Token Manipulation
Defense Evasion, Privilege Escalation


T1202

Indirect Command Execution
Defense Evasion


T1207

Rogue Domain Controller
Defense Evasion


T1216

Signed Script Proxy Execution
Defense Evasion


T1220

XSL Script Processing
Defense Evasion


T1480

Execution Guardrails
Defense Evasion


T1489

Service Stop
Impact


T1496

Resource Hijacking
Impact


T1525

Implant Container Image
Persistence


T1535

Unused/Unsupported Cloud Regions
Defense Evasion


T1537

Transfer Data to Cloud Account
Exfiltration


T1550

Use Alternate Authentication Material
Defense Evasion, Lateral Movement


T1554

Compromise Client Software Binary
Persistence


T1563

Remote Service Session Hijacking
Lateral Movement


T1567

Exfiltration Over Web Service
Exfiltration"
DTE0008,"Burn-In

            Exercise a target system in a manner where it will generate desirable system artifacts. 
            

            Exercising the system to create desirable system artifacts including web browsing, filesystem usage, running user applications like office suites, etc.  The burn-in process can be specific to a user or system, depending on your needs.","DOS0006
There is an opportunity to prepare user accounts so they look used and authentic.

DOS0093
There is an opportunity to seed systems with decoy cookies that will lead adversaries to decoy targets.

DOS0112
In an adversary engagement scenario, there is an opportunity to prepare a user's browser data (sessions, cookies, etc.) so it looks authentic and fully populated.","DUC0006
A defender can prepare a Decoy System by logging in to the Decoy Account and using it in ways consistent with the deception story, creating artifacts in the system that make it look legitimate.

DUC0093
A defender can authenticate to  a collection of decoy sites (as a decoy user) to give the adversary a set of session cookies to harvest and potentially use during adversary engagement.

DUC0112
A defender can perform web browsing tasks on a decoy system over time to give the adversary a robust set of browser data that looks realistic and could potentially be used during adversary engagement.","DPR0016
Configure a decoy system and allow it to be used in an manner such that it collects activity logs and appears to be to be a legitimate system.

DPR0017
Configure a system to generate internet browser traffic for a decoy user profile, creating artifacts such as cookies, history, temp files, etc.","T1078

Valid Accounts
Defense Evasion, Persistence, Privilege Escalation, Initial Access


T1185

Man in the Browser
Collection


T1539

Steal Web Session Cookie
Credential Access"
DTE0010,"Decoy Account

            Create an account that is used for active defense purposes.
            

            A decoy account is one that is created specifically for defensive or deceptive purposes. It can be in the form of user accounts, service accounts, software accounts, etc. The decoy account can be used to make a system, service, or software look more realistic or to entice an action.","DOS0001
There is an opportunity to study the adversary and collect first-hand observations about them and their tools.

DOS0004
There is an opportunity to introduce user accounts that are used to make a system look more realistic.

DOS0187
In an adversary engagement operation, there is an opportunity to present decoy accounts to the adversary during the enumeration process.","DUC0004
A defender can create decoy user accounts which are used to make a decoy system or network look more realistic.

DUC0044
A defender can use decoy accounts and monitor them for any activity that might reveal adversary manipulation.

DUC0187
During an adversary engagement operation, a defender can utilize decoy accounts to provide content to an adversary and encourage additional activity.","DPR0020
Create a user account with a specified job function. Populate the user account's groups, description, logon hours, etc., with decoy data that looks normal in the environment.

DPR0021
Create a user that has a valid email account.  Use this account in such a way that the email address could be harvested by the adversary. This can be monitored to see if it is used in future attacks.","T1078

Valid Accounts
Defense Evasion, Persistence, Privilege Escalation, Initial Access


T1087

Account Discovery
Discovery


T1098

Account Manipulation
Persistence"
DTE0011,"Decoy Content 

            Seed content that can be used to lead an adversary in a specific direction, entice a behavior, etc.
            

            Decoy Content is the data used to tell a story to an adversary. This content can be legitimate or synthetic data which is used to reinforce or validate your defensive strategy. Examples of decoy content are files on a storage object, entries in the system registry, system shortcuts, etc.","DOS0028
There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access.

DOS0074
There is an opportunity to influence an adversary to move toward systems you want them to engage with.

DOS0076
In an adversary engagement situation, there is an opportunity to add legitimacy by ensuring decoy systems are fully populated with information an adversary would expect to see during this recon process.

DOS0082
There is an opportunity to introduce data to an adversary to influence their future behaviors.

DOS0133
In an adversary engagement scenario, there is an opportunity  to observe how an adversary might manipulate data on a system.

DOS0190
In an adversary engagement scenario, there is an opportunity to introduce decoy content to entice additional engagement activity.

DOS0210
There is an opportunity to feed content to an adversary to influence their behaviors, test their interest in specific topics, or add legitimacy to a system or environment.

DOS0234
There is an opportunity to seed decoy content to make non-virtual systems look like virtual systems to see how an adversary reacts.","DUC0073
A defender can create decoy registry objects and monitor access to them using Windows Registry Auditing.

DUC0074
A defender can create breadcrumbs or honeytokens to lure the attackers toward the decoy systems or network services.

DUC0076
A defender can create entries in a decoy system's ARP cache, hosts file, etc. to add to the legitimacy of the device.

DUC0082
A defender can feed decoy data to an adversary that is using a key-logger or other tool, so as to shape the encounter.

DUC0102
A defender can plant decoy emails containing deceptive content and breadcrumbs to lure the attacker toward deception systems.

DUC0103
A defender can insert into a system's clipboard decoy content for the adversary to find. 

DUC0105
A defender can introduce decoy audio content designed to make the adversary believe that their audio capture efforts are working.

DUC0113
A defender can display decoy content on the screen which may be of interest to an adversary in an attempt to elicit further engagement.

DUC0114
A defender can introduce video content designed to make the adversary believe that their capture efforts are working.

DUC0133
A defender can deploy decoy content to see if an adversary attempts to manipulate data on the system or connected storage devices.

DUC0184
A defender can utilize decoy files and directories to provide content that could be used by the adversary.

DUC0190
A defender can utilize decoy network shares to provide content that could be used by the adversary. 

DUC0207
A defender can use decoy content to give the false impression about the system when an adversary performs system information discovery.

DUC0208
A defender could seed decoy network shares within an adversary engagement network to see if an adversary uses them for payload delivery or lateral movement.

DUC0210
A defender can use decoy content to give the false impression about the nature of the system in order to entice an adversary to continue engagement.

DUC0234
A defender can plant files, registry entries, software, processes, etc. to make a system look like a VM when it is not.","DPR0022
Create directories and files with names and contents using key words that may be relevant to an adversary to see if they examine or exfiltrate the data.

DPR0023
Seed a file system with content that is of no value to the company but reinforces the legitimacy of the system if viewed by an adversary.","T1012

Query Registry
Discovery


T1016

System Network Configuration Discovery
Discovery


T1018

Remote System Discovery
Discovery


T1056

Input Capture
Collection, Credential Access


T1080

Taint Shared Content
Lateral Movement


T1082

System Information Discovery
Discovery


T1083

File and Directory Discovery
Discovery


T1113

Screen Capture
Collection


T1114

Email Collection
Collection


T1115

Clipboard Data
Collection


T1123

Audio Capture
Collection


T1125

Video Capture
Collection


T1135

Network Share Discovery
Discovery


T1217

Browser Bookmark Discovery
Discovery


T1497

Virtualization/Sandbox Evasion
Defense Evasion, Discovery


T1565

Data Manipulation
Impact"
DTE0012,"Decoy Credentials

            Create user credentials that are used for active defense purposes.
            

            Seed a target system with credentials (such as username/password, browser tokens, and other forms of authentication data) for the purpose of engagement. Decoy credentials can be planted in many locations and leveraged in a variety of ways.","DOS0005
There is an opportunity to deploy a tripwire that triggers an alert when an adversary touches a network resource or uses a specific technique.

DOS0084
In order to prolong an adversary engagement operation or enable detections, there is an opportunity to introduce credentials to an adversary that you want them to collect and use.","DUC0005
A defender can seed systems with decoy credentials in a variety of locations and establish alerting that will trigger if an adversary harvests the credentials and attempts to use them.

DUC0084
A defender can plant decoy credentials across an array of locations to increase the chances of an adversary finding and using them.

DUC0151
A defender can use adversary attempts at forced authentication exploits to seed adversary servers with decoy credentials.","DPR0024
Create user credentials for a decoy account, such as 'User ABC'.  Store those credentials in the browser and other places on the system to see if an adversary attempts to harvest them.","T1003

OS Credential Dumping
Credential Access


T1078

Valid Accounts
Defense Evasion, Persistence, Privilege Escalation, Initial Access


T1187

Forced Authentication
Credential Access


T1482

Domain Trust Discovery
Discovery


T1538

Cloud Service Dashboard
Discovery


T1552

Unsecured Credentials
Credential Access


T1555

Credentials from Password Stores
Credential Access"
